date,code,action,reason,price,shares,pnl_pct
2024-08-13,601777.SH,卖出,止损,3.99,200,-7.20930232558139
2024-08-13,920885.BJ,卖出,止损,5.87,100,-6.677265500794915
2024-08-13,000679.SZ,买入,金叉,3.28,300,0.0
2024-08-14,002685.SZ,卖出,止损,3.0,300,-5.3627760252365935
2024-08-14,002629.SZ,买入,金叉,1.93,500,0.0
2024-08-15,002207.SZ,买入,金叉,5.0,200,0.0
2024-08-16,000679.SZ,卖出,止损,3.02,300,-7.926829268292678
2024-08-16,002629.SZ,卖出,止损,1.8,500,-6.735751295336778
2024-08-16,002207.SZ,卖出,止损,4.67,200,-6.600000000000006
2024-08-16,300091.SZ,买入,金叉,1.61,600,0.0
2024-08-16,002030.SZ,买入,金叉,6.44,100,0.0
2024-08-19,002030.SZ,卖出,止损,6.09,100,-5.434782608695665
2024-08-19,600696.SH,买入,金叉,8.3,100,0.0
2024-08-20,300091.SZ,卖出,止损,1.49,600,-7.453416149068326
2024-08-20,300511.SZ,买入,金叉,3.32,300,0.0
2024-08-21,000810.SZ,买入,金叉,9.62,100,0.0
2024-08-22,600696.SH,卖出,止损,7.66,100,-7.710843373493981
2024-08-22,300511.SZ,卖出,止损,2.96,300,-10.843373493975905
2024-08-22,300639.SZ,买入,金叉,5.78,100,0.0
2024-08-23,002775.SZ,买入,金叉,2.28,400,0.0
2024-08-29,920090.BJ,卖出,死叉,2.85,300,-4.040404040404044
2024-08-29,600686.SH,卖出,死叉,13.2,100,32.79678068410463
2024-08-29,603060.SH,买入,金叉,7.4,100,0.0
2024-08-30,000712.SZ,卖出,死叉,10.32,100,2.3809523809523725
2024-08-30,603060.SH,卖出,止损,6.93,100,-6.351351351351364
2024-08-30,300472.SZ,买入,金叉,6.03,100,0.0
2024-08-30,300647.SZ,买入,金叉,5.85,100,0.0
2024-09-02,300716.SZ,买入,金叉,8.28,100,0.0
2024-09-03,300639.SZ,卖出,止损,5.44,100,-5.882352941176472
2024-09-03,300131.SZ,买入,金叉,5.59,100,0.0
2024-09-04,600611.SH,卖出,死叉,9.45,200,167.7053824362606
2024-09-04,002775.SZ,卖出,止损,2.15,400,-5.701754385964907
2024-09-04,300472.SZ,卖出,止损,5.54,100,-8.126036484245446
2024-09-04,300647.SZ,卖出,止损,5.39,100,-7.863247863247869
2024-09-04,000058.SZ,买入,金叉,7.15,100,0.0
2024-09-04,603196.SH,买入,金叉,8.82,100,0.0
2024-09-04,002488.SZ,买入,金叉,7.37,100,0.0
2024-09-05,002520.SZ,买入,金叉,4.94,200,0.0
2024-09-05,920212.BJ,买入,金叉,8.75,100,0.0
2024-09-06,603196.SH,卖出,止损,8.26,100,-6.34920634920636
2024-09-06,300464.SZ,买入,金叉,4.47,200,0.0
2024-09-09,300131.SZ,卖出,止损,5.24,100,-6.261180679785328
2024-09-09,920212.BJ,卖出,止损,8.13,100,-7.085714285714273
2024-09-09,300464.SZ,卖出,止损,4.1,200,-8.277404921700226
2024-09-09,300047.SZ,买入,金叉,8.04,100,0.0
2024-09-09,002717.SZ,买入,金叉,1.29,700,0.0
2024-09-10,002717.SZ,卖出,止损,1.2,700,-6.976744186046513
2024-09-10,000595.SZ,买入,金叉,4.92,200,0.0
2024-09-11,000058.SZ,卖出,止损,6.62,100,-7.4125874125874125
2024-09-11,300310.SZ,买入,金叉,4.79,200,0.0
2024-09-12,300379.SZ,买入,金叉,9.97,100,0.0
2024-09-13,000810.SZ,卖出,止损,9.05,100,-5.925155925155911
2024-09-13,300310.SZ,卖出,止损,4.36,200,-8.977035490605424
2024-09-13,000678.SZ,买入,金叉,4.86,200,0.0
2024-09-18,002520.SZ,卖出,止损,4.44,200,-10.121457489878537
2024-09-18,300379.SZ,卖出,止损,9.35,100,-6.218655967903719
2024-09-18,002667.SZ,买入,金叉,6.62,100,0.0
2024-09-18,002480.SZ,买入,金叉,4.02,200,0.0
2024-09-19,000521.SZ,买入,金叉,9.55,100,0.0
2024-09-23,002667.SZ,卖出,止损,6.13,100,-7.401812688821751
2024-10-15,000521.SZ,卖出,止损,8.98,100,-5.96858638743456
2024-10-15,300334.SZ,买入,金叉,6.34,100,0.0
2024-10-16,300057.SZ,买入,金叉,5.34,100,0.0
2024-11-13,002488.SZ,卖出,死叉,10.1,100,37.04206241519674
2024-11-13,300131.SZ,买入,金叉,8.63,100,0.0
2024-11-14,000595.SZ,卖出,死叉,9.2,200,86.99186991869918
2024-11-14,002146.SZ,买入,金叉,2.04,500,0.0
2024-11-15,600121.SH,买入,金叉,4.68,200,0.0
