date,code,strategy,reason,pnl
2025-09-15,603551.SH,红利低波,调仓,-1.5091342335186608
2025-09-15,605599.SH,红利低波,调仓,-2.1947873799725626
2025-09-15,688169.SH,红利低波,买入,0.0
2025-09-15,601567.SH,红利低波,买入,0.0
2025-09-15,688677.SH,红利低波,买入,0.0
2025-09-22,688169.SH,红利低波,调仓,-1.213735938425109
2025-09-22,605599.SH,红利低波,买入,0.0
2025-09-22,603551.SH,红利低波,买入,0.0
2025-09-29,920005.BJ,红利低波,止损,-12.013862148633025
2025-09-29,920005.BJ,红利低波,买入,0.0
2025-09-29,003041.SZ,红利低波,买入,0.0
2025-10-09,300251.SZ,红利低波,调仓,-8.161102278749354
2025-10-09,603551.SH,红利低波,调仓,-6.916192026037427
2025-10-13,601567.SH,红利低波,调仓,14.733127481252751
2025-10-13,688677.SH,红利低波,调仓,9.017610863568848
2025-10-13,600506.SH,红利低波,买入,0.0
2025-10-13,002580.SZ,红利低波,买入,0.0
2025-10-16,603066.SH,红利低波,止损,-13.064516129032267
2025-10-20,002043.SZ,红利低波,调仓,32.29166666666667
2025-10-20,003041.SZ,红利低波,调仓,5.394360441356771
2025-10-20,002264.SZ,红利低波,买入,0.0
2025-10-20,920425.BJ,红利低波,买入,0.0
2025-10-20,603551.SH,红利低波,买入,0.0
2025-10-27,920425.BJ,红利低波,调仓,6.354075372480272
2025-10-27,600776.SH,红利低波,买入,0.0
2025-10-30,300529.SZ,红利低波,止损,-14.844407064760311
2025-11-03,600506.SH,红利低波,调仓,17.69820971867009
2025-11-03,002357.SZ,红利低波,买入,0.0
2025-11-03,300529.SZ,红利低波,买入,0.0
2025-11-10,300251.SZ,红利低波,买入,0.0
2025-11-17,002264.SZ,红利低波,调仓,19.31649331352152
2025-11-17,002043.SZ,红利低波,买入,0.0
2025-11-21,300783.SZ,红利低波,止损,-14.613618974751342
2025-11-24,002580.SZ,红利低波,调仓,-8.619430241051862
2025-11-24,002357.SZ,红利低波,调仓,-8.419083255378867
2025-11-24,300783.SZ,红利低波,买入,0.0
2025-11-24,300660.SZ,红利低波,买入,0.0
2025-11-24,603297.SH,红利低波,买入,0.0
2025-12-01,688169.SH,红利低波,买入,0.0
2025-12-03,600763.SH,红利低波,止损,-12.21892235893084
2025-12-08,600776.SH,红利低波,调仓,8.678655199374518
2025-12-08,300660.SZ,红利低波,调仓,10.031880977683327
2025-12-08,688513.SH,红利低波,买入,0.0
2025-12-15,002580.SZ,红利低波,买入,0.0
2025-12-15,002897.SZ,红利低波,买入,0.0
2025-12-22,603868.SH,红利低波,调仓,1.9273743016759992
2025-12-22,300181.SZ,红利低波,调仓,-9.915164369035
2025-12-22,002043.SZ,红利低波,调仓,2.2463768115941862
2025-12-22,603297.SH,红利低波,调仓,11.010252029047418
2025-12-22,688169.SH,红利低波,调仓,1.2828064663917838
2025-12-22,002897.SZ,红利低波,调仓,3.644251626898054
2025-12-22,688786.SH,红利低波,买入,0.0
2025-12-22,601567.SH,红利低波,买入,0.0
2025-12-22,600763.SH,红利低波,买入,0.0
2025-12-22,688677.SH,红利低波,买入,0.0
2025-12-29,000963.SZ,红利低波,止损,-12.737556561085983
2025-12-29,605005.SH,红利低波,调仓,-2.714708785784803
2025-12-29,301631.SZ,红利低波,买入,0.0
2025-12-29,920425.BJ,红利低波,买入,0.0
2025-12-29,000963.SZ,红利低波,买入,0.0
2026-01-05,688786.SH,红利低波,调仓,9.827649431609832
2026-01-05,688169.SH,红利低波,买入,0.0
2026-01-12,300251.SZ,红利低波,调仓,9.548916227299342
2026-01-12,300783.SZ,红利低波,调仓,14.381121994657175
2026-01-12,688513.SH,红利低波,调仓,13.864091820003633
2026-01-12,601567.SH,红利低波,调仓,5.222602739726012
2026-01-12,688786.SH,红利低波,买入,0.0
2026-01-12,002357.SZ,红利低波,买入,0.0
2026-01-12,300181.SZ,红利低波,买入,0.0
2026-01-12,603297.SH,红利低波,买入,0.0
2026-01-19,920425.BJ,红利低波,调仓,9.184171958964349
2026-01-19,002357.SZ,红利低波,调仓,16.455696202531644
2026-01-19,002043.SZ,红利低波,买入,0.0
2026-01-26,600763.SH,红利低波,调仓,13.286201852754754
2026-01-26,688786.SH,红利低波,调仓,0.32414910858995505
2026-01-26,603297.SH,红利低波,调仓,-7.269069279216223
