rebalance_date,stock_code,weight,raw_score,industry,circ_mv
2024-05-31,300011.SZ,0.012499999999999999,-7.007361059357109,运输设备,282918.6596
2024-05-31,603836.SH,0.012499999999999999,-7.416692807857944,仓储物流,283224.6271
2024-05-31,002824.SZ,0.012499999999999999,-10.079709777532022,铝,273519.5529
2024-05-31,002923.SZ,0.012499999999999999,-10.403002978116321,化学制药,274344.1796
2024-05-31,300179.SZ,0.012499999999999999,-10.583196970561165,矿物制品,292917.1386
2024-05-31,600769.SH,0.012499999999999999,-13.335941040818433,水务,274108.3332
2024-05-31,002869.SZ,0.012499999999999999,-18.083365248133372,通信设备,297495.4406
2024-05-31,300310.SZ,0.012499999999999999,-24.31926322385151,通信设备,287764.0255
2024-05-31,002689.SZ,0.012499999999999999,-25.408685681503542,运输设备,280116.2122
2024-05-31,603933.SH,0.012499999999999999,-26.263973237537225,元器件,293883.1182
2024-05-31,600722.SH,0.012499999999999999,-27.276113101575817,化工原料,290496.5017
2024-05-31,603819.SH,0.012499999999999999,-27.832763747782707,电气设备,282613.7827
2024-05-31,002587.SZ,0.012499999999999999,-30.324061795456082,元器件,290585.763
2024-07-31,002392.SZ,0.012499999999999999,138.21178899932966,其他建材,285594.1028
2024-07-31,002441.SZ,0.012499999999999999,122.1357239525494,电气设备,293722.6805
2024-07-31,002788.SZ,0.012499999999999999,121.21043777902291,医药商业,283444.7525
2024-07-31,600382.SH,0.012499999999999999,120.21253009761652,普钢,273837.2545
2024-07-31,002932.SZ,0.012499999999999999,119.78174379553295,医疗保健,258477.0266
2024-07-31,600668.SH,0.012499999999999999,118.2560506499664,水泥,274578.8947
2024-07-31,603916.SH,0.012499999999999999,111.55023739974908,化工原料,276565.8908
2024-07-31,603020.SH,0.012499999999999999,104.35373393430794,食品,259451.973
2024-07-31,688330.SH,0.012499999999999999,103.64719158677329,电气设备,274820.0
2024-07-31,603012.SH,0.012499999999999999,102.1417494482725,专用机械,286439.04
2024-07-31,002443.SZ,0.012499999999999999,101.4253029047704,钢加工,285684.6146
2024-07-31,002067.SZ,0.012499999999999999,98.88833176593462,造纸,292712.9967
2024-07-31,300639.SZ,0.012499999999999999,96.97356822924428,医疗保健,298527.2544
2024-07-31,603165.SH,0.012499999999999999,96.80582540903148,造纸,295140.8541
2024-07-31,600526.SH,0.012499999999999999,96.68320174427559,环境保护,268994.6556
2024-07-31,603817.SH,0.012499999999999999,95.05279198098468,环境保护,254888.7693
2024-07-31,000639.SZ,0.012499999999999999,94.8737292232764,食品,260141.8521
